report_begin_date,report_end_date,published_Date,market_type,slug_id,slug_name,report_title,final_ind,report_date,special_notes,report_narrative,_section,community,commodity,published_date,variety,region,size,organic,environment,store_count,wtd_avg_price,prior_WK_store_count,prior_WK_wtd_avg_price,prior_YR_store_count,prior_YR_wtd_avg_price,price_Range,stores_with_Ads,wtd_Avg_Price,%_Marked_Local
12/27/2025,01/02/2026,01/02/2026 16:08:45,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,"Welcome to 2026 

New Year's resolutions for healthy eating were easy for shoppers to keep this week, as retailers offered an abundance of nutritious produce. Cherries from Chile, Florida strawberries, and Texas grapefruit were just a few of the wholesome, new crop options seen this week. Bowl games were also a major focus. Guacamole ingredients like avocados and cilantro were popular, as were snack tray favorites like baby carrots, berries, grapes, and broccoli. Winter citrus season continued to ramp up with Cara Cara navels, dekopons, blood oranges, and pummelos featured alongside standard citrus offerings.

Total ad numbers this week were 254,802, a 15% decrease from last week's total of 298,838. The total for the same week last year was 12% higher at 289,415.  The total number of ads broken out by commodity groups: fruit 138,759 (54%), onions and potatoes 21,466 (8%), vegetables 87,742 (34%), herbs 2,118, ornamentals 1,242, hemp 3,069, and honey 2,524.  The number of ads for organic produce was 44,488, 17% of total ads.  

The following are the prices of major advertised items (3,000 plus ads) this week, compared to the same week last year.  Significant increases in price for fruit this week included only limes (each) at 27%.  Significant decreases included avocados (each) at 34%, white seedless grapes (per lb.) at 12%, and Navel oranges (4 lb.) at 12%.  There were no significant changes in price for potatoes and onions this week.   Significant increases in price for vegetables this week included collards (per bunch) at 42% and cucumbers (each) at 11%.  There were no significant decreases.",Report Header,,,,,,,,,,,,,,,,,,
12/20/2025,12/26/2025,12/23/2025 15:40:18,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,12/26/2025,This report is released early for 26-Dec-25.,"Please note: due to the extended Christmas Federal holiday, there is limited new data for this week.  

Run, Run, Rudolph

This close to Christmas, holiday shoppers were running around searching for last minute deals for their celebrations.  Retailers offered jolly good specials on all manner of seasonal favorites.  Sweet potatoes, celery, asparagus, broccoli crowns, green beans, onions, and potatoes were among the most frequently advertised vegetables this week.  Pineapples, grapes, apples, tangerines, cherries, and berries were at the top of the list for fruit.  Winter citrus was well featured this week with Navel and Cara Cara oranges, clementines, dekopons, tangerines, and grapefruit bringing in fresh, new crop flavor.  Offshore stone fruit appeared in stores as the winter solstice occurred, signaling a gradual trend toward long days and summer favorites.

Total ad numbers this week were 298,838, about steady from last week's total of 297,844.  The total number of ads broken out by commodity groups: fruit 157,233 (53%), onions and potatoes 30,844 (10%), vegetables 98,162 (33%), herbs 992, ornamentals 8,045, hemp 2,084, and honey 2,470.  The number of ads for organic produce was 24,899, 8% of total ads.  There was no report issued for the same week in 2024, resulting in no year-over-year comparisons to report for this week.",Report Header,,,,,,,,,,,,,,,,,,
12/13/2025,12/19/2025,12/19/2025 14:00:19,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,12/19/2025,,"Delicious Holiday Savings

Retailers went all out this week to ensure shoppers had a wide selection of fresh produce to choose from for their holiday meal preparation, along with prime cuts of meat, specialty bakery items, seasonal floral decorations, and everything else needed to celebrate the season. Apples, citrus, grapes, pineapples and blueberries continued to lead fruit advertisements, while sweet potatoes and squash topped vegetable lists along with celery, Bell peppers, beans, carrots, asparagus and broccoli. The color red dominated floral ads as poinsettias were heavily featured in the last full week of ads ahead of their time to shine on holiday tables.

Total ad numbers this week were 297,884, a 1% increase from last week's total of 294,377. The total for the same week last year was 8% lower at 276,107. The total number of ads broken out by commodity groups: fruit 156,830 (53% of all ads), onions and potatoes 30,374 (10%), vegetables 97,928 (33%), herbs 1030, ornamentals 8146 (3%), and hemp 2136. The number of ads for organic produce was 24,602, 8% of total ads. 

The following are the prices of major advertised items (3,000 plus ads) this week, compared to the same week last year. Significant increases in price for fruit this week included pineapples at 32%, navel oranges (each) at 17%, and tangerines (3 lb. bag) at 15%. Significant decreases included red seedless grapes at 21%, navel oranges (4 lb. bag) at 16%, Bartlett pears at 12% and navel oranges (per lb) at 10%. There were no significant increases in price for potatoes and onions this week. Significant decreases included yellow onions (3 lb. bag) at 10%. There were no significant changes in price for vegetables this week. For ornamentals, poinsettias in 6-inch pots showed a significant price decrease of 20%.",Report Header,,,,,,,,,,,,,,,,,,
12/06/2025,12/12/2025,12/13/2025 10:03:09,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,12/12/2025,,"Sparkling Specials

This week caught many parts of the country in a deep freeze, but retailers did their best to lure shoppers out of the cold with deals on hearty vegetables like potatoes, onions, carrots, sweet potatoes, hard squashes, and mushrooms.  Holiday favorites were also available for stocking up ahead of Hanukkah, Christmas, New Years and Kwanzaa.  Beets, leeks, chestnuts, pomegranates, cranberries, nuts, collards, pie pumpkins, and grapes were showcased in ads around the country. Winter citrus added to the holiday sparkle.

Total ad numbers this week were 294,377, a 7% increase from last week's total of 274,030. The total for the same week last year was 1% lower at 291,666.  The total number of ads broken out by commodity groups: fruit 160,557 (54%), onions and potatoes 28,129 (10%), vegetables 96,156 (33%), herbs 495, ornamentals 5,653, hemp 2,149, and honey 1,733.  The number of ads for organic produce was 41,863, 14% of total ads.  

The following are the prices of major advertised items (3,000 plus ads) this week, compared to the same week last year. Significant increases in price for fruit this week included Navel oranges (per lb.) at 22%, pineapples at 21%, round mangoes at 17%, avocados at 17%, and pomegranates (each) at 11%.  Significant decreases included only raspberries (6 oz. package) at 14%.  Significant changes in price for potatoes and onions this week included only a 14% increase for Russet potatoes (5 lb. bag).  Significant increases in price for vegetables this week included butternut and spaghetti squash at 40%, broccoli crowns at 15%, acorn squash at 14%, and organic zucchini at 13%. Significant decreases included conventional zucchini at 20% and on-the-vine tomatoes at 12%.",Report Header,,,,,,,,,,,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apple Pears,01/02/2026 16:08:45,N/A,Hawaii,per lb,No,N/A,23.0,2.39,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,AMBROSIA,Southcentral,3 lb bag,No,N/A,163.0,3.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,AMBROSIA,National,3 lb bag,No,N/A,163.0,3.99,21.0,3.99,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,AMBROSIA,Hawaii,per lb,Yes,N/A,4.0,2.49,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,COSMIC CRISP,Southeast,2 lb bag,No,N/A,27.0,3.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,COSMIC CRISP,National,2 lb bag,No,N/A,27.0,3.99,,,8.0,3.78,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,COSMIC CRISP,National,3 lb bag,No,N/A,245.0,3.99,,,,,,,,
